Condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,rest_pre_press.keys,rest_pre_press.rt,pre_cond_press.keys,pre_cond_press.rt,cond_press.keys,cond_press.rt,loop_rest_press.keys,loop_rest_press.rt,participant,session,date,expName,frameRate,
,,,,,"['5', '5', '5', '5', '5', '5', '5', '5']","[1.9841994478483684, 3.9660053132101893, 5.9773137820884585, 7.967091555707157, 9.966737885435577, 11.984859318763483, 13.983162813237868, 15.97344735742081]",,,,,,,div2,001,2018_Dec_14_1248,Run1,60.023050864776934,
stimuli/sounds/Run2_Divided/Divided4spk_2targets_Stim5,0,0,0,0,,,['5'],[1.8792701305355877],"['5', '1', '5', '5', '5', '1', '5', '1']","[1.902633753255941, 2.704075889894739, 3.9203882589936256, 5.907190839992836, 7.900598972977605, 8.361637078691274, 9.909221343754325, 10.502329861919861]","['5', '5', '5', '5']","[1.9829511241987348, 3.9750283962348476, 5.975836663332302, 7.968781218747608]",div2,001,2018_Dec_14_1248,Run1,60.023050864776934,
stimuli/sounds/Run2_Divided/Divided2spk_2targets_Stim5,0,1,1,1,,,['5'],[1.9837585359346122],"['5', '5', '1', '5', '5', '1', '5']","[1.9178304572124034, 3.925953327503521, 5.591937600111123, 5.936746900377329, 7.93770570185734, 9.889688222727273, 9.935314257687423]","['5', '5', '5', '5']","[1.982431951619219, 3.978082704998087, 5.988671003666241, 7.973880571487825]",div2,001,2018_Dec_14_1248,Run1,60.023050864776934,
stimuli/sounds/Run2_Divided/Baseline_3targets_Stim9,0,2,2,2,,,['5'],[1.9799934654147364],"['5', '5', '5', '5', '5']","[1.9206311667803675, 3.9201620297390036, 5.919638152932748, 7.9383878108346835, 9.935316395945847]","['5', '5', '5', '5']","[1.9915025043301284, 3.987732729583513, 5.9933452677796595, 7.990928591985721]",div2,001,2018_Dec_14_1248,Run1,60.023050864776934,
stimuli/sounds/Run2_Divided/Divided4spk_2targets_Stim6,0,3,3,3,,,['5'],[1.9828685868997127],"['5', '5', '5', '1', '5', '5', '1']","[1.9295747061260045, 3.9183243982261047, 5.92256929713767, 6.112990177643951, 7.924585260625463, 9.917278782872017, 11.67736415984109]","['5', '5', '5', '5']","[1.9745079407002777, 3.9702151444507763, 5.963343163661193, 7.986338575836271]",div2,001,2018_Dec_14_1248,Run1,60.023050864776934,
stimuli/sounds/Run2_Divided/Divided2spk_3targets_Stim6,0,4,4,4,,,['5'],[1.9730757256620564],"['5', '1', '5', '5', '1', '5', '1', '5']","[1.9327637259848416, 2.9474331319215707, 3.918322687561158, 5.930465510522481, 6.6882992863538675, 7.916116417851299, 9.857978921791073, 9.933009627333377]","['5', '5', '5', '5']","[1.9667425896041095, 3.9596259904792532, 5.966641663166229, 7.96677423606161]",div2,001,2018_Dec_14_1248,Run1,60.023050864776934,
stimuli/sounds/Run2_Divided/Divided4spk_3targets_Stim7,0,5,5,5,,,['5'],[1.969629685394466],"['5', '5', '1', '5', '1', '5', '5', '1']","[1.9181452109478414, 3.9169101446168497, 3.9378836060641333, 5.921715698670596, 7.699084733729251, 7.9204951726133, 9.929994235164486, 10.18219366244739]","['5', '5', '5', '5']","[1.9789675222127698, 3.977492541715037, 5.980223543592729, 7.9603435947792605]",div2,001,2018_Dec_14_1248,Run1,60.023050864776934,
stimuli/sounds/Run2_Divided/Divided2spk_3targets_Stim7,0,6,6,6,,,['5'],[1.9787840584176593],"['5', '5', '1', '5', '5', '1', '5', '1']","[1.8901021923520602, 3.9015539255342446, 3.9678168578539044, 5.9061713115661405, 7.891996701946482, 8.104266452777665, 9.901270390604623, 11.19657739525428]","['5', '5', '5', '5']","[1.9696275470778346, 3.9560696153203025, 5.963149863819126, 7.962134184315801]",div2,001,2018_Dec_14_1248,Run1,60.023050864776934,
stimuli/sounds/Run2_Divided/Baseline_3targets_Stim10,0,7,7,7,,,['5'],[1.9844192622113042],"['5', '5', '5', '5', '5']","[1.921958178805653, 3.9264412812772207, 5.933794373413548, 7.925429878290743, 9.919798951013945]","['5', '5', '5', '5']","[1.9874992301920429, 3.9815159155987203, 5.990295235591475, 7.986081555427518]",div2,001,2018_Dec_14_1248,Run1,60.023050864776934,
stimuli/sounds/Run2_Divided/Divided4spk_2targets_Stim8,0,8,8,8,,,['5'],[1.9884888228261843],"['5', '5', '1', '5', '5', '1', '5']","[1.9157747218851, 3.927326526201796, 5.080997341719922, 5.914453696983401, 7.93019309459487, 9.493095945159439, 9.909661827899981]","['5', '5', '5', '5']","[1.9864835507469252, 3.9794922543223947, 5.991969930764753, 7.98893871542532]",div2,001,2018_Dec_14_1248,Run1,60.023050864776934,
stimuli/sounds/Run2_Divided/Divided2spk_3targets_Stim8,0,9,9,9,,,['5'],[1.9872888241661713],"['5', '1', '5', '1', '5', '1', '1', '5', '5', '5']","[1.917201805044897, 3.9045286905020475, 3.926535365288146, 4.343732466164511, 5.92755660432158, 7.36368383327499, 7.614408707711846, 7.9276883219135925, 9.909395826747641, 11.91133181884652]","['1', '5', '5', '5', '5', '5']","[0.3914471658645198, 1.9741025242256, 3.955319509259425, 5.97247572633205, 7.963401752407663, 9.963797332835384]",div2,001,2018_Dec_14_1248,Run1,60.023050864776934,
