Condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,rest_pre_press.keys,rest_pre_press.rt,pre_cond_press.keys,pre_cond_press.rt,cond_press.keys,cond_press.rt,loop_rest_press.keys,loop_rest_press.rt,participant,session,date,expName,frameRate
,,,,,"['5', '5', '5', '5', '5', '5', '5', '5']","[1.9797612490365282, 3.9851052201120183, 5.975238802260719, 7.975219557818491, 9.96941414749017, 11.986314199515618, 13.969241375045385, 15.995281687472016]",,,,,,,sel1,1,2018_Dec_14_1203,Run1,59.67563373
stimuli/sounds/Run1_selective/Selective2spk_2targets_Stim1,0,0,0,0,,,['5'],[1.9408831750624813],"['5', '5', '1', '5', '5', '1', '5']","[1.9445905122556724, 3.952061637013685, 4.87858973222319, 5.938830433296971, 7.938672628777567, 9.471539162914269, 9.93995944125345]","['5', '5', '5', '5']","[1.975779785308987, 3.9851338729495183, 5.978116062004119, 7.9781605380703695]",sel1,1,2018_Dec_14_1203,Run1,59.67563373
stimuli/sounds/Run1_selective/Selective4spk_3targets_Stim1,0,1,1,1,,,['5'],[1.9840052926447242],"['5', '1', '5', '5', '1', '5', '5', '1', '5']","[1.9201765700126998, 3.4080371683230624, 3.9050333228660747, 5.906348788237665, 6.7033976297825575, 7.912767882808112, 9.91799980844371, 10.42617570789298, 11.9031430897885]","['5', '5', '5', '5']","[1.9730577641748823, 3.973085561709013, 5.974806443555281, 7.9626961224130355]",sel1,1,2018_Dec_14_1203,Run1,59.67563373
stimuli/sounds/Run1_selective/Selective2spk_3targets_Stim2,0,2,2,2,,,['5'],[1.9740567651460879],"['5', '5', '1', '5', '1', '5', '1', '5']","[1.938514824199956, 3.9345406306092627, 4.356368374777958, 5.932905707333703, 6.573415882070549, 7.93699151877081, 9.228407722432166, 9.934913117729593]","['5', '5', '5', '5']","[1.9794242572388612, 3.9806670213583857, 5.989070860669017, 7.988586328050587]",sel1,1,2018_Dec_14_1203,Run1,59.67563373
stimuli/sounds/Run1_selective/Baseline_2targets_Stim1,0,3,3,3,,,['5'],[1.9790851271827705],"['5', '5', '1', '5', '5', '1', '5']","[1.9284615213400684, 3.924925245984923, 4.0971853489172645, 5.93346679006936, 7.92936857661698, 8.334779946075287, 9.930346194887534]","['5', '5', '5', '5']","[1.9781169173656963, 3.970061188796535, 5.973731320060324, 7.984876852598973]",sel1,1,2018_Dec_14_1203,Run1,59.67563373
stimuli/sounds/Run1_selective/Selective4spk_2targets_Stim2,0,4,4,4,,,['5'],[1.9724701668601483],"['5', '5', '5', '1', '5', '1', '5']","[1.9395027062273584, 3.9428144629346207, 5.944884310942143, 6.0919328958843835, 7.9398666402557865, 9.517030914314091, 9.932395087787881]","['5', '5', '5', '5']","[1.9761586872045882, 3.9678219896159135, 5.980773079674691, 7.9826547596021555]",sel1,1,2018_Dec_14_1203,Run1,59.67563373
stimuli/sounds/Run1_selective/Selective4spk_3targets_Stim3,0,5,5,5,,,['5'],[1.9645914872526191],"['5', '5', '5', '5', '1', '5']","[1.9290097744669765, 3.9317938055028208, 5.931191240262706, 7.929333081294317, 9.95164253556868]","['1', '5', '5', '5', '5']","[0.0009177466272376478, 1.9614879983128048, 3.9769797839107923, 5.9797565448097885, 7.976605158532038]",sel1,1,2018_Dec_14_1203,Run1,59.67563373
stimuli/sounds/Run1_selective/Selective2spk_2targets_Stim3,0,6,6,6,,,['5'],[1.9641193566494621],"['5', '5', '5', '1', '5', '5', '1']","[1.9465076875058003, 3.9414553768001497, 5.9464503818308, 6.327420011512004, 7.9389352086000144, 9.940487166924868, 10.048031164042186]","['5', '5', '5', '5']","[1.9959223139449023, 3.9922307999804616, 5.9887334411614574, 7.990813980519306]",sel1,1,2018_Dec_14_1203,Run1,59.67563373
stimuli/sounds/Run1_selective/Baseline_2targets_Stim2,0,7,7,7,,,['5'],[0.00043193105375394225],"['5', '5', '5', '5', '5']","[1.9233822684036568, 3.9297594528761692, 5.9198998775100335, 7.925080484594218, 9.92610685544787]","['5', '5', '5', '5']","[1.9687585530919023, 3.9815954593359493, 5.973850207985379, 7.9778098613605835]",sel1,1,2018_Dec_14_1203,Run1,59.67563373
stimuli/sounds/Run1_selective/Selective2spk_3targets_Stim4,0,8,8,8,,,['5'],[1.9913733527064323],"['5', '1', '5', '1', '5', '5', '1', '5', '5']","[1.9168156330124475, 2.9154535533161834, 3.9148210522835143, 5.660895611275919, 5.914496462442912, 7.916506438807119, 8.381711182650179, 9.92645154503407, 11.914866383653134]","['5', '5', '5', '5']","[1.9519004112225957, 3.961883578740526, 5.9564352599554695, 7.952225428656675]",sel1,1,2018_Dec_14_1203,Run1,59.67563373
stimuli/sounds/Run1_selective/Selective4spk_3targets_Stim4,0,9,9,9,,,['5'],[1.9638276962796226],"['5', '1', '5', '5', '5', '1', '5', '1']","[1.9273778447532095, 3.2432956598349847, 3.934145905484911, 5.927665228606202, 7.939025443745777, 8.492498939449433, 9.932401930273045, 11.402647865819745]","['5', '5', '5', '5']","[1.9754641762119718, 3.9851407154346816, 5.977261180581991, 7.9719638238311745]",sel1,1,2018_Dec_14_1203,Run1,59.67563373
