Condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,rest_pre_press.keys,rest_pre_press.rt,pre_cond_press.keys,pre_cond_press.rt,cond_press.keys,cond_press.rt,loop_rest_press.keys,loop_rest_press.rt,participant,session,date,expName,frameRate,
,,,,,"['5', '5', '5', '5', '5', '5', '5', '5']","[1.9712085859500803, 3.9710285433684476, 5.970477296679746, 7.983318479440641, 9.985858319734689, 11.968195759691298, 13.975423549069092, 15.976975079684053]",,,,,,,sel3,001,2018_Dec_14_1223,Run1,59.919998568466156,
stimuli/sounds/Run3_Selective/Selective4spk_2targets_Stim9,0,0,0,0,,,['5'],[1.9352962961420417],"['5', '5', '1', '5', '5', '5', '1']","[1.8837519501103088, 3.9033646148163825, 4.144138823496178, 5.895944380958099, 7.902599968540017, 9.897732832236215, 11.272785861394368]","['5', '5', '5', '5']","[1.978787479631137, 3.979187336633913, 5.962657633470371, 7.96047873358475]",sel3,001,2018_Dec_14_1223,Run1,59.919998568466156,
stimuli/sounds/Run3_Selective/Selective4spk_2targets_Stim10,0,1,1,1,,,['5'],[1.9731231952900998],"['5', '5', '1', '5', '5', '1', '5']","[1.9325892429915257, 3.934211764310021, 4.912894468579907, 5.93031925271498, 7.933419320441317, 9.504100351710804, 9.917116274184082]","['1', '5', '5', '5', '5']","[0.5918495032819919, 1.9752422235324048, 3.981829814030789, 5.973880143836141, 7.977286839915905]",sel3,001,2018_Dec_14_1223,Run1,59.919998568466156,
stimuli/sounds/Run3_Selective/Selective2spk_2targets_Stim9,0,2,2,2,,,['5'],[1.9691909118555486],"['5', '5', '1', '5', '5', '1', '5', '5']","[1.9320675043854862, 3.9156742230406962, 4.08514345245203, 5.929641847847961, 7.922907571890391, 9.15472156269243, 9.914893325825687, 11.915758043294773]","['5', '5', '5', '5', '5']","[1.9637438759673387, 3.9665629746741615, 5.966776374320034, 7.969150712306146, 9.95761002699146]",sel3,001,2018_Dec_14_1223,Run1,59.919998568466156,
stimuli/sounds/Run3_Selective/Baseline_2targets_Stim5,0,3,3,3,,,['5'],[1.9755603985395283],"['5', '5', '5', '5', '5', '5']","[1.909254700760357, 3.910186987661291, 5.908543083583936, 7.920067090424709, 9.903052854642738, 11.900102893647272]","['5', '5', '5', '5']","[1.965781222213991, 3.978920907829888, 5.966869175317697, 7.975578359968495]",sel3,001,2018_Dec_14_1223,Run1,59.919998568466156,
stimuli/sounds/Run3_Selective/Selective2spk_2targets_Stim10,0,4,4,4,,,['5'],[1.9637058146763593],"['5', '5', '1', '5', '5', '5', '1']","[1.9366472568362951, 3.9385152518516406, 5.681803641549777, 5.917732096684631, 7.92574206617428, 9.930587392067537, 11.257202557695564]","['5', '5', '5', '5']","[1.9645504324580543, 3.9685832147370093, 5.976979356259108, 7.9825238973717205]",sel3,001,2018_Dec_14_1223,Run1,59.919998568466156,
stimuli/sounds/Run3_Selective/Selective4spk_2targets_Stim11,0,5,5,5,,,['5'],[1.965655491745565],"['5', '5', '1', '5', '5', '1', '5']","[1.9381906620692462, 3.935379688802641, 5.907179720932618, 5.929836002993397, 7.9481473150081, 9.267915731528774, 9.930743913573679]","['5', '5', '5', '5']","[1.995093519508373, 3.977215421560686, 5.995102072600275, 7.9772295341826975]",sel3,001,2018_Dec_14_1223,Run1,59.919998568466156,
stimuli/sounds/Run3_Selective/Baseline_2targets_Stim6,0,6,6,6,,,['5'],[1.971856482559815],"['5', '5', '5', '5', '5']","[1.9412022053147666, 3.9401604388840497, 5.936278618639335, 7.924123393720947, 9.925880626193248]","['5', '5', '5', '5']","[1.9815103560686111, 3.9679207778535783, 5.984676710271742, 7.970787773898337]",sel3,001,2018_Dec_14_1223,Run1,59.919998568466156,
stimuli/sounds/Run3_Selective/Selective2spk_3targets_Stim11,0,7,7,7,,,['5'],[1.9733913347008638],"['5', '1', '5', '1', '5', '5', '5', '1']","[1.9278508307179436, 2.866071428579744, 3.9350700669456273, 5.792966023727786, 5.930943200655747, 7.931168146955315, 9.922735227097291, 11.203058499726467]","['5', '5', '5', '5']","[1.9797124964534305, 3.978260181611404, 5.988466157170478, 7.978269162354991]",sel3,001,2018_Dec_14_1223,Run1,59.919998568466156,
stimuli/sounds/Run3_Selective/Selective4spk_2targets_Stim12,0,8,8,8,,,['5'],[1.9762805687496439],"['5', '5', '5', '1', '5', '5', '1']","[1.9443796785199083, 3.92587250075303, 5.932464367826469, 6.181741203996353, 7.9303842561203055, 9.935835996177047, 9.980305653240066]","['5', '5', '5', '5', '5']","[0.0007774759433232248, 2.0024312160676345, 3.9875176193891093, 6.002292655990459, 7.993197299307212]",sel3,001,2018_Dec_14_1223,Run1,59.919998568466156,
stimuli/sounds/Run3_Selective/Selective2spk_3targets_Stim12,0,9,9,9,,,['5'],[1.9884127003024332],"['5', '1', '5', '5', '1', '5', '5', '1']","[1.9123449324979447, 2.748932574293576, 3.924910705711227, 5.905443015915807, 6.375140270683914, 7.9117787178838626, 9.91164400667185, 11.192080180102494]","['5', '5', '5', '5']","[1.9934337922022678, 3.979226680821739, 5.992859452206176, 7.989977915887721]",sel3,001,2018_Dec_14_1223,Run1,59.919998568466156,
